glyph_id,page_number,line_number,sura_number,ayah_number,position,min_x,max_x,min_y,max_y
2504,124,9,4,77,2,0,1198,1110,1243
2505,124,10,4,77,3,0,1198,1248,1380
2506,124,11,4,77,4,0,1198,1385,1517
2507,124,12,4,77,5,0,1198,1522,1655
2524,124,13,4,77,6,0,1198,1660,1793
2525,125,1,4,77,1,636,1198,10,143
2526,125,1,4,78,1,0,636,10,143
2527,125,2,4,78,2,0,1198,148,281
2528,125,3,4,78,3,0,1198,286,418
2529,125,4,4,78,4,0,1198,423,555
2530,125,5,4,78,5,0,1198,560,693
2531,125,6,4,78,6,945,1198,698,830
2532,125,6,4,79,1,0,945,698,830
2533,125,7,4,79,2,0,1198,835,968
2534,125,8,4,79,3,244,1198,973,1105
2535,125,8,4,80,1,0,244,973,1105
2536,125,9,4,80,2,0,1198,1110,1243
2537,125,10,4,80,3,732,1198,1248,1380
2538,125,10,4,81,1,0,732,1248,1380
2539,125,11,4,81,2,0,1198,1385,1517
2540,125,12,4,81,3,0,1198,1522,1655
2541,125,13,4,81,4,408,1198,1660,1793
2542,125,13,4,82,1,0,408,1660,1793
2543,126,1,4,82,1,0,1198,10,143
2544,126,2,4,82,2,735,1198,148,281
2545,126,2,4,83,1,0,735,148,281
2546,126,3,4,83,2,0,1198,286,418
2547,126,4,4,83,3,0,1198,423,555
2548,126,5,4,83,4,0,1198,560,693
2549,126,6,4,83,5,620,1198,698,830
2550,126,6,4,84,1,0,620,698,830
2551,126,7,4,84,2,0,1198,835,968
2552,126,8,4,84,3,0,1198,973,1105
2553,126,9,4,84,4,809,1198,1110,1243
2554,126,9,4,85,1,0,809,1110,1243
2555,126,10,4,85,2,0,1198,1248,1380
2556,126,11,4,85,3,14,1198,1385,1517
2557,126,12,4,86,1,0,1198,1522,1655
2558,126,13,4,86,2,290,1198,1660,1793
2559,126,13,4,87,1,0,290,1660,1793
2560,127,1,4,87,1,0,1198,10,143
2561,127,2,4,87,2,342,1198,148,281
2562,127,2,4,88,1,0,342,148,281
2563,127,3,4,88,2,0,1198,286,418
2564,127,4,4,88,3,0,1198,423,555
2565,127,5,4,88,4,534,1198,560,693
2566,127,5,4,89,1,0,534,560,693
2567,127,6,4,89,2,0,1198,698,830
2568,127,7,4,89,3,0,1198,835,968
2569,127,8,4,89,4,0,1198,973,1105
2570,127,9,4,89,5,656,1198,1110,1243
2571,127,9,4,90,1,0,656,1110,1243
2572,127,10,4,90,2,0,1198,1248,1380
2573,127,11,4,90,3,0,1198,1385,1517
2574,127,12,4,90,4,0,1198,1522,1655
2575,127,13,4,90,5,0,1198,1660,1793
2576,128,1,4,90,1,14,1198,10,143
2577,128,2,4,91,1,0,1198,148,281
2578,128,3,4,91,2,0,1198,286,418
2579,128,4,4,91,3,0,1198,423,555
2580,128,5,4,91,4,0,1198,560,693
2581,128,6,4,91,5,0,1198,698,830
2582,128,7,4,91,6,797,1198,835,968
2583,128,7,4,92,1,0,797,835,968
2584,128,8,4,92,2,0,1198,973,1105
2585,128,9,4,92,3,0,1198,1110,1243
2586,128,10,4,92,4,0,1198,1248,1380
2587,128,11,4,92,5,0,1198,1385,1517
2588,128,12,4,92,6,0,1198,1522,1655
2589,128,13,4,92,7,0,1198,1660,1793
2590,129,1,4,92,1,0,1198,10,143
2591,129,2,4,92,2,172,1198,148,281
2592,129,2,4,93,1,0,172,148,281
2593,129,3,4,93,2,0,1198,286,418
2594,129,4,4,93,3,0,1198,423,555
